-137.775,853.565,444.789,-115.986,-0.359377,-13.391
-186.636,890.623,389.392,-119.873,-1.30032,-12.2251
-172.48,812.977,408.057,-118.229,-0.206715,-16.187
-143.516,866.623,429.208,-113.211,-1.96107,-11.4214
-137.707,829.05,414.404,-117.891,-0.521139,-14.6251
-123.77,839.328,421.103,-114.702,-3.264,-11.7154
-124.836,899.43,418.137,-114.677,2.39762,-9.43929
-121.813,807.593,471.04,-119.937,3.11298,-9.67112
-104.82,840.162,473.27,-115.665,2.35303,-7.49843
-142.514,840.837,461.838,-115.4,5.07076,-10.2283
-174.007,882.984,471.755,-121.874,1.28105,-7.48185
-152.497,905.658,428.829,-115.478,-2.57366,-6.412
-171.552,812.291,407.008,-115.289,1.42529,-11.4937
-102.301,853.948,434.296,-117.917,-0.213734,-9.54666
-183.665,818.732,383.819,-117.794,0.961523,-14.1068
-101.404,838.604,450.144,-120.692,0.409903,-13.951
-151.661,827.015,422.125,-120.584,1.28906,-7.98824
-120.522,816.826,462.544,-114.267,5.39323,-10.5542
-172.434,895.44,384.825,-114.413,3.30318,-13.959
-172.864,850.788,451.328,-121.528,-0.714907,-13.9386
177.487,812.918,451.231,-120.788,0.34396,-1.35548
178.107,881.156,405.036,-119.918,4.1628,-2.51639
248.63,845.584,458.513,-125.475,-5.51358,5.03977
213.868,887.358,408.624,-120.813,-5.43216,-0.55873
211.744,830.433,450.633,-117.415,4.22711,5.25672
260.868,830.498,458.168,-120.205,0.132796,-1.54516
244.868,894.605,455.822,-118.466,0.598847,5.48248
192.971,841.331,461.103,-117.339,1.53442,6.93799
196.985,833.726,461.78,-118.083,-0.248892,-1.12762
243.731,876.99,467.675,-120.099,-3.69963,5.52667
240.935,823.182,405.004,-122.619,-4.74385,0.308758
176.31,852.787,424.364,-124.058,-3.11781,3.59871
249.279,898.689,469.087,-123.22,2.0688,5.44073
179.341,833.957,425.314,-119.96,3.20197,-2.30774
211.046,875.03,472.973,-124.678,2.59341,2.87435
248.565,897.387,451.007,-124.095,-2.67989,-1.48393
197.01,808.794,405.037,-117.366,-2.67752,5.86394
232.432,827.501,498.931,-122.399,-3.16966,-0.611272
211.569,896.537,423.393,-122.6,-5.23375,5.69222
232.448,842.938,435.432,-120.627,1.13628,6.66437
297.008,745.117,700.539,-116.301,6.62779,10.1983
289.632,691.349,694.305,-122.972,7.93795,11.6089
254.671,724.153,775.531,-121.157,1.224,19.4617
228.455,758.983,709.649,-120.926,10.1082,19.2488
216.248,688.521,708.974,-119.075,8.97147,17.1872
270.385,736.226,683.266,-114.926,0.930691,19.1027
284.212,755.174,748.924,-117.013,8.83589,10.1841
259.241,725.246,724.763,-119.83,7.69529,16.9023
219.003,749.438,704.399,-117.984,7.35244,11.217
238.434,746.713,754.291,-123.355,8.60847,18.7432
270.671,684.612,694.259,-121.469,8.78142,18.693
270.439,758.654,758.751,-121.525,4.9729,14.0821
305.45,670.522,770.266,-116.195,8.64273,11.7248
261.89,671.907,741.451,-117.701,5.94262,17.251
238.545,751.441,777.79,-122.403,7.77397,12.4786
285.719,736.554,706.288,-121.311,5.65381,13.8999
286.302,733.915,764.149,-118.879,6.39764,15.6736
243.063,708.04,693.52,-119.482,2.37012,12.8839
260.289,756.088,681.937,-116.452,3.20865,14.5794
312.532,670.99,708.979,-118.747,8.57757,17.4063
358.701,626.329,672.454,-123.187,5.74372,12.4744
327.054,642.149,755.526,-119.483,11.6723,21.1756
290.332,671.203,729.919,-123.369,12.5957,19.9951
287.94,677.183,682.839,-123.377,3.6398,13.9207
285.093,691.52,739.343,-114.68,12.2295,19.3963
362.19,682.181,716.889,-113.915,4.776,16.0793
326.63,685.083,733.334,-120.638,3.70085,14.635
334.879,675.236,731.95,-116.902,10.6231,20.4839
265.648,642.83,726.938,-116.533,8.08898,16.027
352.82,678.86,726.57,-118.003,9.10377,14.9958
334.726,708.987,715.424,-120.108,13.5464,19.1515
262.93,697.176,712.501,-120.758,6.59012,17.2436
284.203,665.154,728.612,-119.715,4.80837,14.3693
266.41,719.515,755.849,-118.941,12.1591,18.5212
316.802,711.636,726.339,-120.179,13.5636,16.5073
299.8,664.485,668.884,-119.282,3.84159,14.3997
335.336,626.136,693.508,-116.464,4.82841,16.2007
265.06,681.139,701.347,-115.91,11.899,18.2991
302.453,659.086,669.586,-119.169,7.30094,21.6318
309.757,678.764,743.006,-121.684,12.5487,15.5842
38.0958,651.554,424.555,-94.7242,-0.403672,4.58717
0.417899,624.953,399.866,-99.4509,0.355766,0.717178
29.531,645.739,344.112,-96.1792,2.87051,-2.231
-12.5184,649.592,356.76,-101.683,3.04942,-4.1964
-5.19024,611.477,340.359,-100.15,0.811022,5.42849
20.5884,673.427,399.552,-96.0085,8.059,-3.6829
12.3878,679.415,373.094,-98.7763,3.30606,5.10133
41.6862,608.753,336.67,-102.184,2.785,-0.681412
64.207,635.856,389.471,-95.1282,2.94845,3.33944
2.0313,690.008,338.686,-99.0974,1.03607,1.7971
45.7193,598.731,420.886,-99.9166,4.52412,-1.43931
5.28389,656.618,402.166,-98.8076,1.91873,-0.711792
-9.65349,672.506,369.712,-100.458,-1.34908,3.95084
60.0183,660.3,369.812,-95.9016,0.73503,2.56294
-27.0216,671.636,408.726,-98.4161,-1.05123,3.68281
32.8852,617.014,383.157,-100.965,4.62758,0.323908
2.14845,686.853,385.121,-95.9635,2.13296,-3.65509
43.1352,677.166,373.626,-99.4886,3.04845,4.33009
-30.7143,634.519,369.348,-97.5458,2.38752,1.45189
5.21229,670.419,415.625,-99.6101,4.68283,0.137873
42.724,527.207,478.982,-110.595,1.48238,-9.41558
92.8316,507.805,475.494,-117.553,0.658847,-4.66842
108.212,486.558,466.489,-114.433,-4.02043,-2.33095
90.0316,503.401,489.201,-109.907,-3.45862,-8.64916
66.0192,555.942,498.687,-117.138,0.218059,-5.37508
64.6175,505.219,495.149,-113.169,-2.69824,-8.54608
105.945,538.393,464.183,-112.495,-4.82553,-1.61062
98.744,542.924,536.297,-113.54,-5.15783,-7.60846
16.5314,464.636,531.815,-116.123,-6.50531,-5.00149
32.1153,540.593,449.349,-111.439,-2.87343,-2.41438
105.039,469.351,481.89,-108.107,0.4809,-6.4998
46.6563,538.72,461.701,-108.555,-1.26439,-4.58904
87.1267,541.161,535.751,-108.804,-7.59792,-8.79587
66.2659,538.4,520.158,-112.34,0.269418,-3.1253
87.5692,478.679,472.346,-107.736,1.14965,-5.57409
78.2982,470.796,465.536,-114.081,1.00988,-6.0087
82.5573,508.834,499.654,-108.847,-5.42622,-7.99757
56.7822,551.912,448.324,-112.245,0.709061,-6.52101
80.4593,494.895,543.372,-114.335,-1.98033,-9.29803
79.0705,467.685,472.524,-111.949,0.847265,-6.04184
